UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root      1173     1  1476  0   15 out07 ?        00:00:00 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1477  0   15 out07 ?        00:00:00 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1478  0   15 out07 ?        00:00:00 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1484  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1485  0   15 out07 ?        00:00:05 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1502  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1503  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1504  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1655  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1656  0   15 out07 ?        00:00:01 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1  1657  0   15 out07 ?        00:00:04 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1173     1 17675  0   15 out07 ?        00:00:02 dockerd --group docker --exec-root=/var/snap/docker/471/run/docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/var/snap/docker/471/run/docker.pid --config-file=/var/snap/docker/471/config/daemon.json
root      1176     1  1176  0    1 out07 ?        00:00:02 /usr/sbin/lircd --nodaemon
root      1177     1  1177  0    1 out07 ?        00:00:00 /usr/sbin/lircd-uinput
mssql     1183     1  1183  0    2 out07 ?        00:00:00 /opt/mssql/bin/sqlservr
mssql     1183     1  1505  0    2 out07 ?        00:00:00 /opt/mssql/bin/sqlservr
root      1187  1176  1187  0    1 out07 ?        00:00:00 [sh] <defunct>
root      1199     1  1199  0    3 out07 ?        00:00:00 /usr/sbin/gdm3
root      1199     1  1205  0    3 out07 ?        00:00:00 /usr/sbin/gdm3
root      1199     1  1206  0    3 out07 ?        00:00:00 /usr/sbin/gdm3
root      1215     1  1215  0    2 out07 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1215     1  1249  0    2 out07 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1216  1199  1216  0    3 out07 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root      1216  1199  1218  0    3 out07 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root      1216  1199  1219  0    3 out07 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       1260     1  1260  0    1 out07 ?        00:00:00 /lib/systemd/systemd --user
gdm       1261  1260  1261  0    1 out07 ?        00:00:00 (sd-pam)
gdm       1276  1216  1276  0    3 out07 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1276  1216  1278  0    3 out07 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1276  1216  1290  0    3 out07 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1280  1260  1280  0    1 out07 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm       1291  1276  1291  0    4 out07 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1291  1276  1295  0    4 out07 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1291  1276  1296  0    4 out07 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1291  1276  1310  0    4 out07 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1322  1291  1322  0   21 out07 tty1     00:00:13 /usr/bin/gnome-shell
